paper_year,paper_id,paper_title,paper_authors,paper_language,citation_id,citation_info,citation_year,citation_validity,citation_origin,citation_type,citation_scope,citation_longevity
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,27,"De Bassi, Patricia Rücker, Gregory Moro Puppi Wanderley, Pedro Henrique Banali, and Emerson Cabrera Paraiso. ""Measuring developers' contribution in source code using quality metrics."" In 2018 IEEE 22nd International Conference on Computer Supported Cooperative Work in Design ((CSCWD)), pp. 39-44. IEEE, 2018.",2018,valid,community_nat,conference,international,8
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,28,"Steinmacher, Igor Fábio. ""Supporting newcomers to overcome the barriers to contribute to open source software projects."" PhD diss., Universidade de São Paulo, 2015.",2015,valid,community_nat,msc_phd,national_other,5
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,29,"Ordiales Coscia, José Luis, Cristian M. Mateos, Marco Crasso, and Alejandro Zunino. ""Avoiding wsdl bad practices in code-first web services."" In XII Argentine Symposium on Software Engineering (ASSE 2011)(XL JAIIO, Córdoba, 1º y 2 de septiembre de 2011). 2011.",2011,valid,community_int,conference,international,1
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,30,"Shahjahan, Anam, Wasi haider Butt, and Aisha Zafar Ahmad. ""Impact of refactoring on code quality by using graph theory: An empirical evaluation."" In 2015 SAI Intelligent Systems Conference (IntelliSys), pp. 595-600. IEEE, 2015.",2015,valid,community_int,conference,international,5
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,31,"Mateos, Cristian, Alejandro Zunino, Sanjay Misra, Diego Anabalon, and Andres Flores. ""Keeping web service interface complexity low using an oo metric-based early approach."" In 2016 XLII Latin American Computing Conference (CLEI), pp. 1-12. IEEE, 2016.",2016,valid,community_int,conference,international,6
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,32,"Jahanbanifar, Azadeh, Ferhat Khendek, and Maria Toeroe. ""Partial validation of configurations at runtime."" In 2015 IEEE 18th International Symposium on Real-Time Distributed Computing, pp. 288-291. IEEE, 2015.",2015,invalid,community_int,conference,international,
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,33,"Coscia, José Luis Ordiales, Marco Crasso, Cristian Mateos, and Alejandro Zunino. ""Estimating Web Service interface complexity and quality through conventional object-oriented metrics."" In CIbSE, pp. 154-167. 2012.",2012,valid,community_int,conference,international,2
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,34,"da Silva, Renato Rodrigues Oliveira, Eduardo Faccin Vernier, Paulo Eduardo Rauber, João Luiz Dihl Comba, Rosane Minghim, and Alexandru C. Telea. ""Metric Evolution Maps: Multidimensional Attribute-driven Exploration of Software Repositories."" In VMV. 2016.",2016,valid,community_nat,conference,international,6
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,35,"Mateos, Cristian, Marco Crasso, Alejandro Zunino, and José Luis Ordiales Coscia. ""A stitch in time saves nine: Early improving code-first web services discoverability."" International Journal of Cooperative Information Systems 24, no. 02 (2015): 1550004.",2015,valid,community_int,journal,international,5
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,36,"Steinmacher, Igor, and Marco Aurélio Gerosa. ""Choosing an appropriate task to start with in open source software communities: A hard task."" In CYTED-RITOS International Workshop on Groupware, pp. 349-356. Springer, Cham, 2014.",2014,valid,community_nat,conference,international,4
